labelIndex,modelLabel,scientificName,taxonClass
3525,Mergellus albellus,Mergellus albellus,Aves
3526,Mergus merganser,Mergus merganser,Aves
3527,Mergus serrator,Mergus serrator,Aves
3528,Merops albicollis,Merops albicollis,Aves
3529,Merops apiaster,Merops apiaster,Aves
3530,Merops bullockoides,Merops bullockoides,Aves
3531,Merops bulocki,Merops bulocki,Aves
3532,Merops hirundineus,Merops hirundineus,Aves
3533,Merops leschenaulti,Merops leschenaulti,Aves
3534,Merops oreobates,Merops oreobates,Aves
3535,Merops orientalis,Merops orientalis,Aves
3536,Merops ornatus,Merops ornatus,Aves
3537,Merops persicus,Merops persicus,Aves
3538,Merops philippinus,Merops philippinus,Aves
3539,Merops pusillus,Merops pusillus,Aves
3540,Merops superciliosus,Merops superciliosus,Aves
3541,Merops variegatus,Merops variegatus,Aves
3542,Merops viridis,Merops viridis,Aves
3543,Merulaxis ater,Merulaxis ater,Aves
3544,Mesembrinibis cayennensis,Mesembrinibis cayennensis,Aves
3545,Mesitornis unicolor,Mesitornis unicolor,Aves
3546,Mesitornis variegatus,Mesitornis variegatus,Aves
3547,Metallura tyrianthina,Metallura tyrianthina,Aves
3548,Metallura williami,Metallura williami,Aves
3549,Metopidius indicus,Metopidius indicus,Aves
3550,Metopothrix aurantiaca,Metopothrix aurantiaca,Aves
3551,Metriopelia melanoptera,Metriopelia melanoptera,Aves
3552,Micrastur buckleyi,Micrastur buckleyi,Aves
3553,Micrastur gilvicollis,Micrastur gilvicollis,Aves
3554,Micrastur mintoni,Micrastur mintoni,Aves
3555,Micrastur mirandollei,Micrastur mirandollei,Aves
3556,Micrastur ruficollis,Micrastur ruficollis,Aves
3557,Micrastur semitorquatus,Micrastur semitorquatus,Aves
3558,Micrathene whitneyi,Micrathene whitneyi,Aves
3559,Microbates cinereiventris,Microbates cinereiventris,Aves
3560,Microbates collaris,Microbates collaris,Aves
3561,Microcarbo niger,Microcarbo niger,Aves
3562,Microcentrum rhombifolium,Microcentrum rhombifolium,Aves
3563,Microcerculus bambla,Microcerculus bambla,Aves
3564,Microcerculus marginatus,Microcerculus marginatus,Aves
3565,Microcerculus philomela,Microcerculus philomela,Aves
3566,Microcerculus ustulatus,Microcerculus ustulatus,Aves
3567,Microeca fascinans,Microeca fascinans,Aves
3568,Microeca flavigaster,Microeca flavigaster,Aves
3569,Microhierax fringillarius,Microhierax fringillarius,Aves
3570,Micromonacha lanceolata,Micromonacha lanceolata,Aves
3571,Micronisus gabar,Micronisus gabar,Aves
3572,Micropsitta finschii,Micropsitta finschii,Aves
3573,Micropternus brachyurus,Micropternus brachyurus,Aves
3574,Micropygia schomburgkii,Rufirallus schomburgkii,Aves
3575,Microrhopias quixensis,Microrhopias quixensis,Aves
3576,Microspingus cabanisi,Microspingus cabanisi,Aves
3577,Microspingus erythrophrys,Microspingus erythrophrys,Aves
3578,Microspingus lateralis,Microspingus lateralis,Aves
3579,Microspingus melanoleucus,Microspingus melanoleucus,Aves
3580,Microspingus torquatus,Microspingus torquatus,Aves
3581,Microxenops milleri,Microxenops milleri,Aves
3582,Milvago chimachima,Milvago chimachima,Aves
3583,Milvago chimango,Milvago chimango,Aves
3584,Milvus migrans,Milvus migrans,Aves
3585,Milvus milvus,Milvus milvus,Aves
3586,Mimus dorsalis,Mimus dorsalis,Aves
3587,Mimus gilvus,Mimus gilvus,Aves
3588,Mimus gundlachii,Mimus gundlachii,Aves
3589,Mimus longicaudatus,Mimus longicaudatus,Aves
3590,Mimus patagonicus,Mimus patagonicus,Aves
3591,Mimus polyglottos,Mimus polyglottos,Aves
3592,Mimus saturninus,Mimus saturninus,Aves
3593,Mimus thenca,Mimus thenca,Aves
3594,Mimus triurus,Mimus triurus,Aves
3595,Minla ignotincta,Minla ignotincta,Aves
3596,Mino dumontii,Mino dumontii,Aves
3597,Mino kreffti,Mino kreffti,Aves
3598,Miogryllus saussurei,,
3599,Mionectes macconnelli,Mionectes macconnelli,Aves
3600,Mionectes oleagineus,Mionectes oleagineus,Aves
3601,Mionectes olivaceus,Mionectes olivaceus,Aves
3602,Mionectes rufiventris,Mionectes rufiventris,Aves
3603,Mionectes striaticollis,Mionectes striaticollis,Aves
3604,Mirafra affinis,Plocealauda affinis,Aves
3605,Mirafra africana,Corypha africana,Aves
3606,Mirafra apiata,Corypha apiata,Aves
3607,Mirafra assamica,Plocealauda erythrocephala,Aves
3608,Mirafra cantillans,,
3609,Mirafra cheniana,Mirafra cheniana,Aves
3610,Mirafra erythrocephala,Plocealauda erythrocephala,Aves
3611,Mirafra erythroptera,Plocealauda erythroptera,Aves
3612,Mirafra fasciolata,Corypha fasciolata,Aves
3613,Mirafra javanica,Mirafra javanica,Aves
3614,Mirafra passerina,Mirafra passerina,Aves
3615,Mirafra rufocinnamomea,Amirafra rufocinnamomea,Aves
3616,Mitrephanes phaeocercus,Mitrephanes phaeocercus,Aves
3617,Mitrospingus cassinii,Mitrospingus cassinii,Aves
3618,Mitrospingus oleagineus,Mitrospingus oleagineus,Aves
3619,Mitu salvini,Mitu salvini,Aves
3620,Mitu tomentosum,Mitu tomentosum,Aves
3621,Mitu tuberosum,Mitu tuberosum,Aves
3622,Mixornis bornensis,Mixornis bornensis,Aves
3623,Mixornis flavicollis,Mixornis flavicollis,Aves
3624,Mixornis gularis,Mixornis gularis,Aves
3625,Mixornis kelleyi,Mixornis kelleyi,Aves
3626,Mniotilta varia,Mniotilta varia,Aves
3627,Modulatrix stictigula,Modulatrix stictigula,Aves
3628,Mohoua albicilla,Mohoua albicilla,Aves
3629,Mohoua novaeseelandiae,Mohoua novaeseelandiae,Aves
3630,Mohoua ochrocephala,Mohoua ochrocephala,Aves
3631,Molothrus aeneus,Molothrus aeneus,Aves
3632,Molothrus ater,Molothrus ater,Aves
3633,Molothrus bonariensis,Molothrus bonariensis,Aves
3634,Molothrus oryzivorus,Molothrus oryzivorus,Aves
3635,Molothrus rufoaxillaris,Molothrus rufoaxillaris,Aves
3636,Momotus aequatorialis,Momotus aequatorialis,Aves
3637,Momotus coeruliceps,Momotus coeruliceps,Aves
3638,Momotus lessonii,Momotus lessonii,Aves
3639,Momotus mexicanus,Momotus mexicanus,Aves
3640,Momotus momota,Momotus momota,Aves
3641,Momotus subrufescens,Momotus subrufescens,Aves
3642,Monarcha castaneiventris,Monarcha castaneiventris,Aves
3643,Monarcha frater,Monarcha frater,Aves
3644,Monarcha melanopsis,Monarcha melanopsis,Aves
3645,Monarcha richardsii,Monarcha richardsii,Aves
3646,Monasa atra,Monasa atra,Aves
3647,Monasa flavirostris,Monasa flavirostris,Aves
3648,Monasa morphoeus,Monasa morphoeus,Aves
3649,Monasa nigrifrons,Monasa nigrifrons,Aves
3650,Montecincla fairbanki,Montecincla fairbanki,Aves
3651,Monticola cinclorhyncha,Monticola cinclorhyncha,Aves
3652,Monticola gularis,Monticola gularis,Aves
3653,Monticola rufiventris,Monticola rufiventris,Aves
3654,Monticola rupestris,Monticola rupestris,Aves
3655,Monticola saxatilis,Monticola saxatilis,Aves
3656,Monticola sharpei,Monticola sharpei,Aves
3657,Monticola solitarius,Monticola solitarius,Aves
3658,Montifringilla blanfordi,Pyrgilauda blanfordi,Aves
3659,Montifringilla nivalis,Montifringilla nivalis,Aves
3660,Montifringilla taczanowskii,Onychostruthus taczanowskii,Aves
3661,Morococcyx erythropygus,Morococcyx erythropygus,Aves
3662,Morphnarchus princeps,Morphnarchus princeps,Aves
3663,Morphnus guianensis,Morphnus guianensis,Aves
3664,Morus bassanus,Morus bassanus,Aves
3665,Motacilla aguimp,Motacilla aguimp,Aves
3666,Motacilla alba,Motacilla alba,Aves
3667,Motacilla capensis,Motacilla capensis,Aves
3668,Motacilla cinerea,Motacilla cinerea,Aves
3669,Motacilla citreola,Motacilla citreola,Aves
3670,Motacilla clara,Motacilla clara,Aves
3671,Motacilla flava,Motacilla flava,Aves
3672,Motacilla flaviventris,Motacilla flaviventris,Aves
3673,Motacilla grandis,Motacilla grandis,Aves
3674,Motacilla maderaspatensis,Motacilla maderaspatensis,Aves
3675,Motacilla tschutschensis,Motacilla tschutschensis,Aves
3676,Mulleripicus fulvus,Mulleripicus fulvus,Aves
3677,Mulleripicus pulverulentus,Mulleripicus pulverulentus,Aves
3678,Muscicapa adusta,Muscicapa adusta,Aves
3679,Muscicapa aquatica,Muscicapa aquatica,Aves
3680,Muscicapa dauurica,Muscicapa dauurica,Aves
3681,Muscicapa ferruginea,Muscicapa ferruginea,Aves
3682,Muscicapa griseisticta,Muscicapa griseisticta,Aves
3683,Muscicapa muttui,Muscicapa muttui,Aves
3684,Muscicapa sibirica,Muscicapa sibirica,Aves
3685,Muscicapa striata,Muscicapa striata,Aves
3686,Muscicapa williamsoni,Muscicapa williamsoni,Aves
3687,Muscigralla brevicauda,Muscigralla brevicauda,Aves
3688,Muscipipra vetula,Muscipipra vetula,Aves
3689,Muscisaxicola albilora,Muscisaxicola albilora,Aves
3690,Muscisaxicola maculirostris,Muscisaxicola maculirostris,Aves
3691,Musophaga rossae,Tauraco rossae,Aves
3692,Mustelirallus albicollis,Mustelirallus albicollis,Aves
3693,Mustelirallus erythrops,Mustelirallus erythrops,Aves
